diagnosis | icd,count
BWS-Syndrom | M54.83,1
Chronische Beckenschmerzensyndrom | R52.9,1
Pelvic Congestion Syndrom | I87.20,1
Adenomyosis uteri | N80.0,1
Chronischen Spannungskopfschmerzen | R44.2,1
Chronische Halsschmerzen | R52.9,1
Chronische Steißbeinschmerzen | M54.88,1
Z.n. Mammakarzinom links 2017 | C50.0,1
Zervikobrachial-Syndrom bei BS-Protriusion C5/6 | M53.1,1
Z. n. Radiatio 2007 | D35.2,1
Polyneuropathie - V.a. Small Fiber Polyneuropathie (EM ca. 2002) | G60.8,1
Großzehengrundgelenkschmerzen | M19.0,1
Ehlers-Danlos-Syndrom | Q79.6,1
"Muskelschmerzen hauptsächlich Schulterblattregion re., gluteal re. | M79.61",1
Multiple Nahrungsmittelunverträglichkeiten | T78.1,1
Mastzellaktivierungssyndrom | D89.9,1
"Thrombozytopenie, ED 2016 | D69.61",1
"Beteiligung großer Gelenke, ED 12/2008 L40.5, | M07.00",1
Gelenk- und Sehnenschmerzen | G79.70,1
Multiple Sklerose (ED 1988) | G35.9,1
Gonarthrose links | M17.9,1
Z. n. Enzephalitis ohne Erregernachweis 07/2018 | G04.9,1
Mischformen des Asthma bronchiale | J45.80,1
Polyvalente Allergie | T78.4,1
Chronisches LWS/ISG-Syndrom | M54.86,1
Endometriose | N80.3,1
"Hashimoto-Thyreoiditis, ED 2007 | E03.6",1
Knieschmerzen rechts | M22.4,1
Obstruktives Schlafapnoesyndrom | G47.33,1
Periphere Fazialisparese rechts | G51.0,1
LSW-Syndrom | M54.86,1
Großzehengrundgelenkschmerzen bds. | M25.5,1
Knieschmerzen linksbetont | M16.9,1
Chron. deg. LWS-Syndrom | M54.86,1
Gonalgie links | M25.56,1
Hüftschmerzen | M25.55,1
Oberschenkelschmerzen bds. | R52.2,1
"1000 mg 1-0-0 4x wöchentlich (Mo, Mi, Fr, So) | B12",1
Hüfteschmerzen rechts | M70.6,1
Achillessehnenschmerzen links | M76.6,1
Kiefergelenksschmerzen links | R52.2,1
Myogelose der Schulter-Nacken-Muskulatur | M62.81,1
"Hashimoto Thyreoiditis, ED 2005 | E06.3",1
Blähungen | R14,1
Neurodermitis | L40.9,1
Polyarthrose Typ Heberden | M15.9,1
Hüftschmerzen links | M16.9,1
Ellenbogen Schmerzen rechts | M25.52,1
Handekzem bds. | L30.9,1
Zentrale Funktionsstörung mit | G93.4,1
rezidivierenden muskulären Spasmen der rechten Körperhälfte bei | I63.8,1
Zustand nach PFO-Verschluss am 25.03.2025 | Q21.1,1
Allergische Rhinopathie | J30.1,1
Neuralgie des Nervus occipitalis major links | G44.8,1
Arzneimittel induzierte Polyneuropathie nach Chemotherapie | G62.22,1
Z.n. Resektion eines invasiv Mamma-CA links 11/2020 | C50.4,1
"Obstruktives Schlafapnoesyndrom, ED 2018 | G47.31",1
"Post-Herpes-Neuralgie, Z. n. Herpes Zoster 2/2023 B02.2, | G53.0",1
Pollenallergie | J30.1,1
"Seropositive Rheumatoide Arthritis, EM 12/2016 | M06.99",1
Sekundäres Schmerzsyndrom vom Typ der Fibromyalgie | M79.70,1
Vorfuß-/Mittelfußarthrose rechts | M19.07,1
"Raynaud Syndrom, Hautveränderungen, Myalgien Arthralgien,..), ED 03/2017 | M35.9",1
Sek. Fibromyalgiesyndrom | M79.70,1
Zustand nach Reaktivierung einer chronischen inflammatorischen Polyneuropathien mit Multiplexverteilungtyp | G62.88,1
Knieschmerzen bds. | M16.0,1
Hüfteschmerzen bds. | M17.0,1
Kollagenose a.e. Sjögren-Syndrom | M35.0,1
Subakuter kutaner Lupus erythematodes | L93.1,1
"Lymphödem der unteren Extremität, Stadium II beidseits | I89.01",1
"Lip-Lymphödem der unteren Extremität, Stadium II | I89.04",1
Nichtorganische Insomnie | F50.1,1
Migräneartige Kopfschmerzen | R51,1
Polyneuropathie vom Typ Charcot-Marie-Tooth | G62.9,1
Chronische-degeneratives HWS-Syndrom | M54.82,1
"Rheumatoide Arthritis, ED 1996, Rheumafaktor- und CCP-positiv | M06.90",1
Gastroösophageale Refluxkrankheit bei axialer Hiatushernie | K21.9,1
Medianusneuritis links | G56.1,1
Lipödem Grad 2 Typ 4 | E88.21,1
"Epilepsie, aktuell anfallsfrei unter Therapie (vormals Grand mal) | G40.9",1
des Corpus uteri 09/2024 | C54.1,1
intraop. Bestrahlung 6/2021 | C50.0,1
Hüfteschmerzen rechts | M16.9,1
Sjögren-Syndrom mit Reizhusten | M35.0,1
Kopfschmerzen | R52.9,1
Small Fiber Neuropathie | G62.88,1
"Chronische Polyarthritis, ED 2015 | M06.90",1
Polyarthrose der Fingergelenke | M19.04,1
Adipositas | E66.6,1
Chron. Sinusitis | J32.9,1
Verdauungsbeschwerden | K59.8,1
"Z.n. Mammakarzinom rechts, ED 2016 | C50.9",1
Chron. degenerat. Wirbelsäulensyndrom | M54.80,1
Schultergelenkschmerzen | M19.01,1
Hand- und Fingergelenkschmerzen | M25.54,1
Metatarsalgie rechts | M77.4,1
ACG-Arthrose rechts | M19.01,1
Epicondylitis humeri radialis beidseits | M77.1,1
Syndrom polyzystischer Ovarien | E28.2,1
Multiple Nahrungsmittelallergien bzw. –unverträglichkeiten | T78.1,1
"Asthma bronchiale, ED 1984 | J45.9",1
Frozen Shoulder nach Tuberculum majus Fractur 01/2017 | M75.0,1
Hypothyreose bei Z.n. subtotaler Thyreoidektomie (2005) bei M. Basedow | E03.9,1
Z. n. atypischer Pneumonie durch Mykoplamen 01/2022 | J18.9,1
Anankastische Persönlichkeitsstruktur | F60.5,1
"Fingergelenke links, Daumensattelgelenke und Sprunggelenke) | M25.50",1
nach konservativen Therapie einer Spondylodiszitis L3/4 | R52.2,1
Z. n. atypischer Pneumonie durch Mykoplasmen 01/2022 | J18.9,1
Beginnende Polyarthrose der Fingergelenke bds. | M15.9,1
Z.n. Mammakarzinom rechts unten ED 10/2017 | C50.9,1
Colitis ulcerosa ED 1984 | K51.9,1
Chronisch rezidivierende Urticaria | L50.8,1
Axonale Polyneuropathie | G62.9,1
Parageusie bei Z.n. Hirnstammischämie 3/2015 | R43.2,1
Hypothyreose bei Z.n. Thyreoidektomie 1990 | E03.8,1
"Lymph- und Lipödem Arme und Beine I89.09, | R60.9",1
Unklare Hepatopathie mit fluktuirender Transamninasenaktivität | K76.9,1
"Colitis ulcerosa, ED 2016 | K51.9",1
Rezidivierende Herpes zoster gluteal links | B02.8,1
Hypothyreose postoperativ | E89.0,1
V.a. Tolosa-Hunt Syndrom | H05.01,1
Knieschmerzen bds. | M22.4,1
"Colitis ulcerosa mit Gelenkbeteiligung, ED 2006 K51.9, | M07.50",1
"Morbus Crohn, ED 06/2003 | K50.9",1
Lactoseintoleranz | E73.9,1
LWS-Schmerzen´ | M54.86,1
Wechseljahrebeschwerden | N95.8,1
"Z.n. Mama Ca rechts, ED 12/2017 | C50.9",1
LWS-Syndrom links | M54.86,1
Lupoide Rosacea | L71.8,1
