diagnosis | icd,count
Lumboischialgien bei kleinem Bandscheibenvorfall LWK 4/5. | M54.80,1
Cervikalsyndrom | M54.82,1
HWS-Syndrom bei HWS-Fehlhaltung und Bandscheibenprotrusio C5/6 | M54.82,1
Spinalkanalstenose und Osteophyten 6/2008 | M54.82,1
"Chron. obstr. Lungenerkrankung, Schwergrad 3 | J44.81",1
Lungenemphysem | J43.9,1
nCPAP-behandeltes Schlafapnoesyndrom | G47.31,1
Zustand nach Nikotinabusus | F17.1,1
Hypothyreose bei Z.n. partialer Thyreoidektomie 1993 | E03.9,1
Schlafstörungen | G44.0,1
Schmerzen HWS-Bereich mit Schmerzausstrahlung in beide Arme | M53.1,1
Knieschmerzen | M17.90,1
"Follikuläres Lymphom Grad I/II linke Axilla, ED 02/2018 | C82.1",1
Hüfteschmerzen li. | M25.55,1
Hypothyreose bei Thyreoiditis Hashimoto | E06.3,1
Gastritis Typ C | K29.5,1
Zervikobrachiales Schmerzsyndrom | M54.92,1
Veränderungen der Wirbelsäule | M54.97,1
Hand- und Fingergelenksarthrose | M15.9,1
V.a. Triggerung i.R. einer small fibre-Neuropathie mit | G62.9,1
Generalisierte Psoriasis vulgaris | L40.0,1
* Lumboischialgien re. bei Osteochondrose und Spondylarhtrose L5/S1 | M54.4,1
* Impingementsyndrom re. Schulter | M75.4,1
* Knieschmerzen rechtsbetont | M79.66,1
* Latente Hypothyreose unter Substitution | E03.9,1
Myofasziales Schmerzsyndrom im Schulter-Nacken-Bereich | M54.82,1
Trigeminusneuralgie des 3.Astes rechts | G50.0,1
Obstruktives Schlafapnoesyndrom mit CPAP-Therapie | G47.31,1
"Lipödem, Stadium II | E88.21",1
"Lymphödem der oberen und unteren Extremitäten, Stadium II | I89.09",1
Polyarthrose | M25.50,1
"Adipositas, Grad III | E66.02",1
Z.n. lumbalen Bandscheidenvorfall LWK 5/SWK 1 linksseitig mit persistierender Gefühlstörung und ASR-Verlust aus dem Jahr 2013 | M51.2,1
Limitiert cutan systemische Sklerodermie | M34.0,1
"Raynaud und Calcinosis cutis der Finger und Knie mit I73.0, | L92.4",1
Fingerkuppennekrosen | S61.0,1
Zervikobrachialsyndrom re. | M53.1,1
Koxarthrose rechtsbetont | M16.1,1
Linkskonvexe Skoliose | M41.90,1
Unterbauchschmerzen links | R10.4,1
"Lupus erythematodes, ED 2012 | M32.9",1
Zervikobrachialsyndrom links | M53.1,1
Schwindel und Druck am linken Ohr im Rahmen des Morbus Meniere | H81.0,1
Funktionelle Dyspepsie | K58.9,1
Reizdarmsyndrom ohne Diarrhoe | K58.9,1
"Hypothyreose bei Z.n. Thyreoidektomie, 6/2016 | E03.8",1
Hashimoto thyreoiditis | E06.3,1
1/2014 | G95.10,1
"initiale Beinschwäche bds., gebessert bis auf leichte Schwäche links | G82.13",1
Primäre Thrombophilie | D68.5,1
"Chronisches Ganzkörperschmerzsyndrom, vorwiegend linksseitig | M79.09",1
Chronisches Müdigkeitssyndrom | T73.3,1
Asthma bronchiale | J44.9,1
"Morbus Crohn mit Befall des Ileum, ED 1974 | K50.9",1
"Regred. Knochenmarköd. dist. Tibia bds., rechtsseitig führend (04/2017) | M79.67",1
Chronische Anämie mit rezidivierenden Eiseninfusion | D50.0,1
Kokzygodynie | M53.3,1
Chron. rezidivierende Harnwegsinfekte | N39.0,1
Zervikaler Bandscheibenschaden mit Radikulopathie L 5/6 | M50.1,1
Lumboischialgie rechtsbetont | M54.4,1
Z.n. Ductales in situ-Carcinom re. Mamma | D05,1
Verdauungsbeschwerden | K58.0,1
"Fibromyalgie, ED 2013 | M79.70",1
stark- bis massivgradiger Lipohyperthrophie von Oberschenkeltyp | E65,1
Lipödem der Arme bei | R60.0,1
stark- bis massivgradiger Lipohyperthrophie von Oberarmtyp | E65,1
Fußschmerzen bds. | M25.50,1
"Chronische, migräneartige Kopfschmerzen | R51",1
L 5 Dermatom rechts | M54.4,1
Adipositas | E66.0,1
"Pseudoradikuläres, lumbales Schmerzsyndrom | M54.97",1
