term,document_count,percent
erheblich,62,10.5
covid syndrom,62,10.5
deutliche,62,10.5
häufig erschöpft,62,10.5
geformt durst,62,10.5
lendenwirbelsäule,62,10.5
schultern,62,10.5
schmerzsymptomatik,62,10.5
konzentrationsstörungen,62,10.5
hysterektomie,62,10.5
problem,62,10.5
vorliegenden,62,10.5
thyroxin,62,10.5
dumpf,62,10.5
positive durchschlafstörungen,61,10.3
pulse saitenförmig,61,10.3
unauffällig kardiovaskuläre,61,10.3
gesamten,61,10.3
schwäche nässe,61,10.3
erschöpft belastbarkeitsgrenze,61,10.3
hypertonie somatisch,60,10.1
bestünden,60,10.1
hand,60,10.1
gehäuft,60,10.1
gefühl langsam,60,10.1
lunge,60,10.1
körperliche,60,10.1
erfahre,60,10.1
novaminsulfon,60,10.1
leiden erschöpft,60,10.1
folgendes,59,10.0
schilderung,59,10.0
hervor,59,10.0
leichten,59,10.0
müdigkeitssyndrom post,59,10.0
gedunsen bläulich,59,10.0
unteren,59,10.0
pantoprazol,59,10.0
drückend,59,10.0
linke,58,9.8
schmerzen ziehenden,58,9.8
klagt,58,9.8
bauchschmerzen,58,9.8
schilderung vorliegenden,58,9.8
bandscheibenvorfall,58,9.8
anhaltenden,58,9.8
liegen,58,9.8
gutem haut,58,9.8
langsam kraft,58,9.8
eher warm,58,9.8
risikofaktoren arbeitsfähigkeit,58,9.8
energielos,57,9.6
müde,57,9.6
früher,57,9.6
hypercholesterinämie,57,9.6
beine,57,9.6
aufnahmegespräch jahren,57,9.6
jahren wieder,57,9.6
gutem übergewichtem,57,9.6
während,57,9.6
schmerzlinderung,57,9.6
operation,57,9.6
ganzkörperschmerzen,56,9.5
arbeitsfähigkeit durchschlafstörungen,56,9.5
unterschiedlicher intensität,56,9.5
drei jahren,56,9.5
folgendes hervor,56,9.5
geht folgendes,56,9.5
hätten,56,9.5
insgesamt,56,9.5
jahren bestehen,56,9.5
leide innere,56,9.5
schmerzstörung,55,9.3
kindheit,55,9.3
körper,55,9.3
füßen,54,9.1
geworden konzentrations,54,9.1
miktion gehäuft,54,9.1
schulterbereich,54,9.1
corona,54,9.1
zigaretten,54,9.1
gedrückt beziehungen,54,9.1
unruhe stimmung,54,9.1
lokale wärme,54,9.1
händen,53,9.0
lunge vesikuläres,53,9.0
karotiden lunge,53,9.0
jahren bestehende,53,9.0
bestünde,53,9.0
ziehenden empfunden,53,9.0
finger,53,9.0
gestört hinsichtlich,53,9.0
begleiterscheinungen,53,9.0
somatische syndrom,53,9.0
stagnation,53,9.0
leistungsfähigkeit seien,53,9.0
herzaktionen abdomen,53,9.0
jahren schmerzen,52,8.8
zunehmend,52,8.8
schleichende,52,8.8
psychosomatischen,52,8.8
beschwerden jahren,52,8.8
hinterkopf,52,8.8
monat,52,8.8
entfernung,52,8.8
seien deutlich,52,8.8
jahren chronischen,52,8.8
warm energieniveau,52,8.8
syndrom somatisch,51,8.6
befundberichten,51,8.6
strahlen,51,8.6
bekannte,51,8.6
vorliegenden befundberichten,51,8.6
erschöpfungssyndrom,51,8.6
oben,51,8.6
altersentsprechendem,51,8.6
dorsalgien bereich,51,8.6
haut mundhöhle,51,8.6
seien eingeschränkt,50,8.4
befundberichten geht,50,8.4
chronische schmerzstörung,50,8.4
somatischen psychischen,50,8.4
handle,50,8.4
körperlich,50,8.4
psychischen faktoren,50,8.4
aufnahmebefund jähriger,50,8.4
leber stagnation,50,8.4
einschlafstörungen,50,8.4
spezielle,49,8.3
anhaltende schmerzen,49,8.3
belastungsabhängige,49,8.3
intermittierenden schmerzen,49,8.3
aufstehen,49,8.3
nahezu,49,8.3
deutlich verschlechtert,49,8.3
polyneuropathie,49,8.3
linderung erfahre,49,8.3
komme,49,8.3
leiden schmerzen,49,8.3
gelegentlich unauffällig,49,8.3
eingeschränkt fühle,49,8.3
seite,48,8.1
schulterschmerzen,48,8.1
schmerzstörung somatischen,48,8.1
erholsam,48,8.1
verschlechtern,48,8.1
weiteres problem,48,8.1
müdigkeit,48,8.1
zuletzt,48,8.1
hysterektomie kardiovaskuläre,48,8.1
körperlichen,48,8.1
jahren zunehmende,48,8.1
laut,48,8.1
bestehen würden,47,7.9
nacken schulterbereich,47,7.9
herr,47,7.9
osteochondrose,47,7.9
ziehender,47,7.9
jahren tinnitus,47,7.9
aktuelle,47,7.9
jahren intermittierenden,47,7.9
zyklus,47,7.9
thyreoiditis,46,7.8
dauerhaft,46,7.8
unverträglichkeit,46,7.8
jahre,45,7.6
hashimoto,45,7.6
anamnestisch,45,7.6
letzte periode,45,7.6
dadurch,45,7.6
steht,45,7.6
komplexen,45,7.6
halswirbelsäule,45,7.6
verschlimmert,45,7.6
schmerzen linken,45,7.6
periode,45,7.6
weiterer,45,7.6
märz,45,7.6
letzter,45,7.6
einnahme,45,7.6
linderung wärme,45,7.6
müdigkeitssyndrom nichtorganische,44,7.4
hashimoto thyreoiditis,44,7.4
minuten,44,7.4
nikotinkonsum zigaretten,44,7.4
beider,44,7.4
appetit gewicht,44,7.4
bereich lendenwirbelsäule,44,7.4
symptome,44,7.4
nahrungsergänzungsmittel,44,7.4
angespannt,44,7.4
ursache,44,7.4
vermutet,44,7.4
januar,44,7.4
hitzewallungen,44,7.4
letzter zeit,44,7.4
probleme,44,7.4
begleitend,44,7.4
außer,44,7.4
blähungen völlegefühl,43,7.3
arthrose,43,7.3
kurzgefasst,43,7.3
ausprägung,43,7.3
nahrungsmittelunverträglichkeiten,43,7.3
zart,43,7.3
erschöpfungssymptomatik leiden,43,7.3
klopfdolent orientierender,43,7.3
komplexen psychosomatischen,43,7.3
kurzzeitig,42,7.1
ausgeprägter,42,7.1
situation,42,7.1
schleichende gewichtszunahme,42,7.1
morbus,42,7.1
vitamin,42,7.1
meist,42,7.1
brennend,42,7.1
puls,42,7.1
somatisch schilderung,42,7.1
extremitäten,42,7.1
linksbetont,42,7.1
konzentration,42,7.1
bereich ausstrahlung,42,7.1
hypertonie durchschlafstörungen,42,7.1
schildert,41,6.9
hypertonie arbeitsfähigkeit,41,6.9
obstruktives,41,6.9
stationäre,41,6.9
lokalisation,41,6.9
rechtsbetont,41,6.9
gehäuft schwitzen,41,6.9
jahren deutlich,41,6.9
pfeifen,41,6.9
schwindel,41,6.9
hypothyreose somatisch,41,6.9
geformt wenig,41,6.9
verstopfungsneigung,41,6.9
weniger,41,6.9
energielos habe,41,6.9
auftretende,40,6.8
